TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ------------------------
tbConceptosPago                                                                                                                  Cpa_Id                                                                                                                           int                                                                                                                                                  NULL
tbConceptosPago                                                                                                                  Cpa_Descripcion                                                                                                                  nvarchar                                                                                                                                              120
tbConceptosPago                                                                                                                  Cpa_EsRecurrente                                                                                                                 bit                                                                                                                                                  NULL
tbConceptosPago                                                                                                                  Cpa_EsObligatorio                                                                                                                bit                                                                                                                                                  NULL
tbConceptosPago                                                                                                                  Cpa_EsActivo                                                                                                                     bit                                                                                                                                                  NULL
tbConceptosPago                                                                                                                  Cpa_EsEliminado                                                                                                                  bit                                                                                                                                                  NULL
tbConceptosPago                                                                                                                  Cpa_UsuarioRegistra                                                                                                              int                                                                                                                                                  NULL
tbConceptosPago                                                                                                                  Cpa_FechaRegistra                                                                                                                datetime2                                                                                                                                            NULL
tbConceptosPago                                                                                                                  Cpa_UsuarioModifica                                                                                                              int                                                                                                                                                  NULL
tbConceptosPago                                                                                                                  Cpa_FechaModifica                                                                                                                datetime2                                                                                                                                            NULL
tbCuentasCobrar                                                                                                                  Cco_Id                                                                                                                           int                                                                                                                                                  NULL
tbCuentasCobrar                                                                                                                  Alu_Id                                                                                                                           int                                                                                                                                                  NULL
tbCuentasCobrar                                                                                                                  Cpa_Id                                                                                                                           int                                                                                                                                                  NULL
tbCuentasCobrar                                                                                                                  Tar_Id                                                                                                                           int                                                                                                                                                  NULL
tbCuentasCobrar                                                                                                                  Cco_MontoOriginal                                                                                                                decimal                                                                                                                                              NULL
tbCuentasCobrar                                                                                                                  Cco_MontoDescuento                                                                                                               decimal                                                                                                                                              NULL
tbCuentasCobrar                                                                                                                  Cco_MontoMora                                                                                                                    decimal                                                                                                                                              NULL
tbCuentasCobrar                                                                                                                  Cco_MontoTotal                                                                                                                   decimal                                                                                                                                              NULL
tbCuentasCobrar                                                                                                                  Cco_MontoPendiente                                                                                                               decimal                                                                                                                                              NULL
tbCuentasCobrar                                                                                                                  Cco_FechaEmision                                                                                                                 date                                                                                                                                                 NULL
tbCuentasCobrar                                                                                                                  Cco_FechaVencimiento                                                                                                             date                                                                                                                                                 NULL
tbCuentasCobrar                                                                                                                  Epa_Id                                                                                                                           int                                                                                                                                                  NULL
tbCuentasCobrar                                                                                                                  Cco_Observaciones                                                                                                                nvarchar                                                                                                                                              300
tbCuentasCobrar                                                                                                                  Cco_EsEliminado                                                                                                                  bit                                                                                                                                                  NULL
tbCuentasCobrar                                                                                                                  Cco_UsuarioRegistra                                                                                                              int                                                                                                                                                  NULL
tbCuentasCobrar                                                                                                                  Cco_FechaRegistra                                                                                                                datetime2                                                                                                                                            NULL
tbCuentasCobrar                                                                                                                  Cco_UsuarioModifica                                                                                                              int                                                                                                                                                  NULL
tbCuentasCobrar                                                                                                                  Cco_FechaModifica                                                                                                                datetime2                                                                                                                                            NULL
tbDescuentos                                                                                                                     Des_Id                                                                                                                           int                                                                                                                                                  NULL
tbDescuentos                                                                                                                     Des_Descripcion                                                                                                                  nvarchar                                                                                                                                              120
tbDescuentos                                                                                                                     Des_TipoDescuento                                                                                                                char                                                                                                                                                    1
tbDescuentos                                                                                                                     Des_Valor                                                                                                                        decimal                                                                                                                                              NULL
tbDescuentos                                                                                                                     Des_EsActivo                                                                                                                     bit                                                                                                                                                  NULL
tbDescuentos                                                                                                                     Des_EsEliminado                                                                                                                  bit                                                                                                                                                  NULL
tbDescuentos                                                                                                                     Des_UsuarioRegistra                                                                                                              int                                                                                                                                                  NULL
tbDescuentos                                                                                                                     Des_FechaRegistra                                                                                                                datetime2                                                                                                                                            NULL
tbDescuentos                                                                                                                     Des_UsuarioModifica                                                                                                              int                                                                                                                                                  NULL
tbDescuentos                                                                                                                     Des_FechaModifica                                                                                                                datetime2                                                                                                                                            NULL
tbDescuentosAplicados                                                                                                            Dap_Id                                                                                                                           int                                                                                                                                                  NULL
tbDescuentosAplicados                                                                                                            Cco_Id                                                                                                                           int                                                                                                                                                  NULL
tbDescuentosAplicados                                                                                                            Des_Id                                                                                                                           int                                                                                                                                                  NULL
tbDescuentosAplicados                                                                                                            Dap_MontoAplicado                                                                                                                decimal                                                                                                                                              NULL
tbDescuentosAplicados                                                                                                            Dap_Justificacion                                                                                                                nvarchar                                                                                                                                              300
tbDescuentosAplicados                                                                                                            Dap_EsEliminado                                                                                                                  bit                                                                                                                                                  NULL
tbDescuentosAplicados                                                                                                            Dap_UsuarioRegistra                                                                                                              int                                                                                                                                                  NULL
tbDescuentosAplicados                                                                                                            Dap_FechaRegistra                                                                                                                datetime2                                                                                                                                            NULL
tbDescuentosAplicados                                                                                                            Dap_UsuarioModifica                                                                                                              int                                                                                                                                                  NULL
tbDescuentosAplicados                                                                                                            Dap_FechaModifica                                                                                                                datetime2                                                                                                                                            NULL
tbEstadosPago                                                                                                                    Epa_Id                                                                                                                           int                                                                                                                                                  NULL
tbEstadosPago                                                                                                                    Epa_Descripcion                                                                                                                  nvarchar                                                                                                                                               50
tbEstadosPago                                                                                                                    Epa_EsEliminado                                                                                                                  bit                                                                                                                                                  NULL
tbEstadosPago                                                                                                                    Epa_UsuarioRegistra                                                                                                              int                                                                                                                                                  NULL
tbEstadosPago                                                                                                                    Epa_FechaRegistra                                                                                                                datetime2                                                                                                                                            NULL
tbEstadosPago                                                                                                                    Epa_UsuarioModifica                                                                                                              int                                                                                                                                                  NULL
tbEstadosPago                                                                                                                    Epa_FechaModifica                                                                                                                datetime2                                                                                                                                            NULL
tbEstadosPago                                                                                                                    Epa_EsActivo                                                                                                                     bit                                                                                                                                                  NULL
tbFormasPago                                                                                                                     Fpa_Id                                                                                                                           int                                                                                                                                                  NULL
tbFormasPago                                                                                                                     Fpa_Descripcion                                                                                                                  nvarchar                                                                                                                                               80
tbFormasPago                                                                                                                     Fpa_EsActivo                                                                                                                     bit                                                                                                                                                  NULL
tbFormasPago                                                                                                                     Fpa_EsEliminado                                                                                                                  bit                                                                                                                                                  NULL
tbFormasPago                                                                                                                     Fpa_UsuarioRegistra                                                                                                              int                                                                                                                                                  NULL
tbFormasPago                                                                                                                     Fpa_FechaRegistra                                                                                                                datetime2                                                                                                                                            NULL
tbFormasPago                                                                                                                     Fpa_UsuarioModifica                                                                                                              int                                                                                                                                                  NULL
tbFormasPago                                                                                                                     Fpa_FechaModifica                                                                                                                datetime2                                                                                                                                            NULL
tbMoratorias                                                                                                                     Mor_Id                                                                                                                           int                                                                                                                                                  NULL
tbMoratorias                                                                                                                     Cco_Id                                                                                                                           int                                                                                                                                                  NULL
tbMoratorias                                                                                                                     Mor_DiasAtraso                                                                                                                   int                                                                                                                                                  NULL
